,,,
Наименование работ и затрат,Ед изм,Кол-во,Прогресс
,,   124,
,,,
Фундамент - Установка свай,шт,13,
 - ,,,
Подсобка - Погрузка/уборка/прочее,час,8,
Подсобка - Уборка снега,час,8,
"Основа - Обвяз из 50х200, 50х100",м2,35,
Основа - Сетка от грызунов,м2,30,
Основа - Мембрана АМ,м2,30,
Основа - Устройство лаг из доски 50х200х6000,м2,30,
"Основа - Контррейка под домом, 25х100х6000х6шт",м2,30,
Основа - Утепление минплитой 200мм,м2,30,
Основа - Пароизоляция В,м2,30,
Основа - 25х150х27шт е.в.(перед половой),м2,30,
Основа - Устройство ОСП (сухая зона),м2,15,
Основа - Ламинат (сухая зона),м2,15,
Основа - ЦСП (су),м2,"9,6",
Основа - Тёплый пол,м2,6,
Основа - Керамогранит (СУ),м2,"9,6",
 - ,,,
Стены - 50х100хх6000,м.п.,31,
Стены - 25х100х6000 раскос,шт,9,
Стены - Полиэтилен 200мкр,м2,"35,6",
Стены - Скотч дельта,рулон,1,
Стены - Утепление 100мм,м2,"62,8",
Стены - Белтермо снаружи,м2,"50,4",
Стены - Контра 25х50 снаружи,м2,"50,4",
Стены - 22х95х6000 обрешётка под профлистна гвозди 60мм,м2,"125,6",
Стены - Профлист,м2,"42,5",
Стены - Угол внешний,шт,4,
Стены - Планкен вдоль окон,шт,3,
,,,
Окна - установка,шт,4,
Окна - отделка внутри,шт,4,
Двери - Уличная 900х2000 ПВХ - установка,шт,1,
Двери - Уличная 900х2000 ПВХ - отделка внутри,шт,1,
Двери - Межкомнатные - установка,шт,2,
Двери - Межкомнатне - отделка,шт,2,
 - ,,,
Веранда - Планкен (окраска + монтаж),м2,"21,3",
Веранда - Террасная доска 28х145 (окраска + монтаж),м2,"7,5",
 - ,,,
Потолок - Стропильная (изготовление + монтаж),м2,30,
Потолок - Пароизоляция,м2,30,
Потолок - Обрешетка 25х100,м2,30,
Потолок - Утепление 150мм,м2,30,
Потолок - Мембрана АМ,м2,30,
Потолок - Контррейка. Брусок 45х45х3000,м2,30,
Потолок - Обрешетка кровли,м2,30,
"Потолок - Профлист 0,45 7024",м2,30,
"Потолок - Планки (торцевая, карнизная, конёк)",м.п.,28,
Потолок - Имитация (окраска + монтаж),м2,"26,4",
 - ,,,
СУ-стены/потолок - Имитация (окраска+монтаж),м2,,
СУ-пол - Керамогранит,м2,,
 - ,,,
Эл - Разводка кабелей,компл,1,
"Эл - точки (р-10,в4,л-7)",шт,21,
Эл - Щиток 2 автомата,шт,1,
Эл - Ледлента,м.п.,10,
 - ,,,
Сантех - монтаж пп труб,,,
Сантех - монтаж водорозеток,шт,9,
Сантех - монтаж коллектора,шт,1,
 - ,,,
Вентиляция - Приточные клапаны,шт,2,
 - ,,,
Плинтуса - стены,м.п.,"40,4",
Плинтуса - пол,м.п.,16,
Сауна - полки осина,шт,1,
Антисептирование пиломатериала,м2,35,
