N,Наименование,Ед. изм.,Кол-во,Цена,Стоимость
1,Монтаж теплого пола на сетку,м2,70,500,35000
2,Укладка утеплителя до 50 мм,м2,140,126,17640
3,Монтаж и подключение коллектора отопления,шт,1,7000,7000
4,Пневматические испытания,шт,1,2000,2000
5,Прокладка труб водоснабжения,шт,9,2100,18900
6,Установка водорозетки,шт,9,714,6426
7,Монтаж коллектора водоснабжения,шт,1,7000,7000
8,Установка поливочного крана,шт,1,1260,1260
9,Монтаж канализации к одной точке,шт,9,2500,22500
10,Установка щелевого трапа,шт,1,1890,1890
11,Установка аварийного трапа,шт,1,1890,1890
12,Прокладка стояка канализации,п.м,4,700,2800
13,Монтаж сборного узла ХВС,шт,1,15000,15000
14,Монтаж бойлера и гидравлическая обвязка,шт,1,12850,12850
15,Монтаж котла и гидравлическая обвязка,шт,1,26600,26600
16,ZONT,шт,1,30000,30000


